span,img_urls,ctype,index,block_num,merge_contents,doc_group,h1,h2,h3
"""('HyundaiSansTextKRMedium', 13416, 14)""",,text,h2,125_0,에어백 (보조 구속 장치),198,3.  시트 및 안전 장치,에어백 (보조 구속 장치),
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,125_1,에어백 종류,199,3.  시트 및 안전 장치,에어백 (보조 구속 장치),
,./image/ioniq5_2024/125_2_img.jpeg,image,,125_2,,199,3.  시트 및 안전 장치,에어백 (보조 구속 장치),
"""('HyundaiSansTextKR', 0, 7)""",,text,,125_4,위의 그림은 실제 차량에 적용된 에어백의 형상과 다를 수 있습니다.,199,3.  시트 및 안전 장치,에어백 (보조 구속 장치),
"""('HyundaiSansTextKR', 0, 9)""",,text,,125_5,(1) 운전석 에어백(2) 동승석 에어백(3) 사이드 에어백(4) 커튼 에어백,199,3.  시트 및 안전 장치,에어백 (보조 구속 장치),
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,126_0,에어백 관련 부품,200,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 관련 부품
,./image/ioniq5_2024/126_1_img.png,image,,126_1,,200,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 관련 부품
"""('HyundaiSansTextKR', 0, 9)""",,text,,126_3,(1) 운전석 에어백 모듈(2) 동승석 에어백 모듈(3) 사이드 에어백 모듈(4) 커튼 에어백 모듈(5) 리트랙터 프리텐셔너(6) 에어백 경고등(7) 에어백 제어 모듈/전복 감지 센서(8) 정면 충돌 센서(9) 측면 충돌 감지 센서(가속도)(10) 측면 충돌 감지 센서(압력)(11) 승객 구분 센서(OCS)(12) 운전석/동승석 안전벨트 버클 센서,200,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 관련 부품
"""('HyundaiSansTextKR', 0, 9)""",,text,,127_0,"에어백 제어 모듈은 시동 'ON'일 때 모든 에어백 부품을 항상 모니터링합니다. 충돌이 발생하면 충돌의 세기를 판단해 에어백과 프리텐셔너의 작동 여부를 결정합니다. 에어백은 차량 전원 'ON' 상태, 시동 'ON' 상태 또는 시동 'OFF' 이후 약 3분 동안 작동합니다. 정면이나 측면에 심각한 충돌이 있을 경우,에어백이 순간적으로 팽창하여 다치는 것을줄여줍니다. 에어백은 차량의 속도가 아닌 충돌의 세기와방향에 따라서 작동합니다. 사고가 날 때 에어백이 팽창하는 순간을 볼수는 없습니다. 사후에 에어백이 밖으로 나와 공기가 빠진 상태를 볼 가능성이 큽니다. 강한 충돌이 일어나면 에어백이 큰 힘으로빠르게 팽창하여, 이에 의해 안면마찰, 타박상, 골절과 같은 상해를 입을 수 있습니다. 스티어링 휠과 너무 가까우면 에어백이 작동할 때 치명적인 부상을 입을 수 있으니 평소에 적절한 거리를 유지하십시오.",200,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 관련 부품
"""('HyundaiSansTextKR', 0, 9)""",,text,,127_2,운전자는 차량 운전에 방해가 되지 않는 범위안에서 스티어링 휠로부터 가능한 멀리 앉아야합니다. 동승석에서는 가능한 좌석을 뒤로 이동시켜 바른 자세로 앉으십시오.,200,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 관련 부품
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,127_4,"에어백 작동 시 2차 피해에어백 제어 모듈은 사고 시 발생하는 충격의세기를 감지하여 에어백이 작동되도록 신호를보냅니다.이 신호에 의해 에어백 모듈(에어백 공기주머니)에 내장된 화약이 폭발하여 에어백을 짧은시간 내에 부풀려 탑승자를 보호합니다. 이때 다음의 피해를 입을 수 있습니다. 동반되는 소음, 섬광, 연기로 인한 피해 팽창한 에어백 천 때문에 입을 수 있는 타박상, 찰과상, 안경 파손 화약 폭발로 인한 화상",201,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 관련 부품
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,127_5,"소음과 연기에어백이 부풀어 오를 때, 큰 소음과 차량 내부에 연기처럼 보이는 가루가 남겨집니다. 이는정상적인 현상으로 에어백이 팽창할 때 생기는결과입니다. 에어백이 작동한 후에, 연기와 가루뿐만 아니라 안전벨트와 에어백의 압박으로인해 숨을 쉬기 어려울 수 있습니다. 에어백이터지고 난 후에는 창문이나 도어를 열어 차 안을 환기하십시오. 연기와 가루는 무독성이지만피부에는 자극을 줄 수 있습니다. 피부가 가렵거나 따가운 경우 즉시 차가운 물로 닦고, 자극이 오랫동안 없어지지 않으면 의사와 상의하여치료하십시오.",202,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 관련 부품
"""('HyundaiSansTextKR', 0, 9)""",,text,,127_7,"에어백이 작동할 때, 스티어링 휠과 크래시 패드의 에어백 관련 부품이 매우 뜨겁습니다. 화상을 입지 않도록 에어백이 작동한 직후 내장부분을 만지지 마십시오.",202,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 관련 부품
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,128_0,어린이 보조 좌석 설치 금지,203,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 관련 부품
,./image/ioniq5_2024/128_1_img.png,image,,128_1,,203,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 관련 부품
"""('HyundaiSansTextKR', 0, 9)""",,text,,128_2,승객 구분 센서의 유무와 상관없이 동승석에는어린이 보조 좌석을 설치하지 마십시오. 동승석 에어백이 팽창할 때 보조 좌석이 적정한 위치에서 벗어나거나 제대로 고정되지 못해 어린이가 큰 부상을 입을 수 있습니다.,203,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 관련 부품
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,128_4," 앞좌석에 어린이 보조 좌석을 절대로 설치하지 마십시오. 에어백이 팽창할 때 에어백 팽창 충격에 의해 심하게 다치거나 사망할 수있습니다. 사이드 에어백이 장착되었다면 뒷좌석에 어린이 보호 좌석을 장착할 때 가능한 도어에닿지 않도록 안쪽으로 장착하십시오. 사이드에어백이 팽창할 때, 팽창 충격에 의해 심하게 다치거나 사망할 수 있습니다.",203,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 관련 부품
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,128_6,에어백 경고등,204,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 경고등
"""('HyundaiSansTextKR', 0, 9)""",,text,,128_7,"에어백 장치는 충돌 센서, 에어백 제어 모듈, 공기주머니 총 세 가지 요소로 구성됩니다. 인명을 보호하는 중요한 장치로서 정교하고 신뢰성이 높게 제작되었기 때문에 작은 고장이 발생해도 에어백 경고등이 켜집니다.정상적으로 에어백 경고등은 시동 ‘ON’ 하면약 3~6초 동안 켜진 후 꺼집니다. 다음의 상황이 발생하면 에어백 장치에 이상이 있으니 즉시당사 직영 하이테크센터나 블루핸즈에서 점검을 받으십시오. 시동 ‘ON’ 했을 때 에어백 경고등이 켜지지않은 경우 시동 ‘ON’ 했을 때 에어백 경고등이 3~6초이후에도 계속 켜져 있는 경우 시동 ‘ON’ 했을 때 에어백 경고등이 깜빡이는 경우 주행 중 에어백 경고등이 켜지는 경우",204,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 경고등
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,128_8,에어백 장치의 구성 및 기능,205,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 장치의 구성 및 기능
"""('HyundaiSansTextKR', 0, 9)""",,text,,128_9,"에어백은 안전벨트를 보조하는 보호장치로서운전석 및 동승석 에어백은 정면에서 보통 이상강도로 충돌하였을 때 충격을 덜어 주며, 사이드 및 커튼 에어백은 측면에서 보통 이상의 강도로 충돌하였을 때 충격을 덜어 줍니다.가벼운 추돌이나 충돌 사고가 났을 때는 안전벨트만으로도 탑승자의 부상 위험을 줄일 수 있습니다. 그러나 심한 추돌이나 충돌 사고 발생 시안전벨트만으로 부상의 위험을 줄일 수 없을 때에어백은 안면이나 상체의 충격을 덜어줍니다.에어백의 탑승자 보호 효과는 탑승자가 안전벨트에 고정되어 있을 경우에 발휘되기 때문에 안전벨트의 보조 구속 장치(SRS)라고도 합니다.에어백은 안전벨트를 대신할 수 없습니다. ",205,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 장치의 구성 및 기능
"""('HyundaiSansTextKR', 6908265, 2)""",,text,,128_11, SRS는 Supplemental Restraint System의약어로 “보조 구속 장치” 라는 의미입니다.,205,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 장치의 구성 및 기능
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,129_0,"어드밴스드 에어백 (Advanced Air Bag)이 차량은 운전석과 동승석에 어드밴스드 에어백이 장착되어 있습니다. 어드밴스드 에어백은충돌의 세기에 따라 두 단계로 에어백을 전개합니다. 중간 세기의 충돌까지는 1단계, 강한 충돌은 2단계로 전개합니다.또한, 승객 구분 시스템이 장착되어 있어, 동승석에 탑승자가 있는지 판단하고 특정 조건에서는 동승석 에어백을 작동하지 않습니다. ",206,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 장치의 구성 및 기능
"""('HyundaiSansTextKR', 6908265, 2)""",,text,,129_2, 에어백은 충돌 및 전복 시 프리텐셔너 안전벨트와 함께 작동되어 향상된 탑승자 보호 기능을제공합니다. ,206,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 장치의 구성 및 기능
"""('HyundaiSansTextKR', 0, 9)""",,text,,129_5,에어백이 장착되어 있더라도 다음 사항을 항상유의하십시오. 어린이는 에어백 전개 시 심하게 다치거나사망할 수 있습니다. 어린이는 동승석보다 뒷좌석이 더 안전합니다. 동승석에 어린이 보조 좌석을 절대 설치하지마십시오. 항상 안전벨트를 착용하고 어린이 보호 좌석은 뒷좌석에 설치하십시오. 에어백이 장착된 차에서도 반드시 안전벨트를 착용하십시오. 에어백은 안전벨트의 보조안전 장치입니다. 안전벨트를 착용하지 않거나 좌석에 앉은 자세가 바르지 않으면 사고가 났을 때 에어백에 의해 보호받을 수 없어 심하게 다치거나사망할 수 있습니다. 사고가 났을 때 바른 자세로 앉아 있지 않으면 순식간에 팽창하는 에어백에 의해 다칠수 있으며 추가적으로 발생되는 충돌로부터보호 받을 수 없습니다.,206,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 장치의 구성 및 기능
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,129_6," 팽창하는 에어백에 의해 안면이나 신체 일부가 찰과상을 입을 수 있고, 안경이 파손되며다칠 수 있습니다. 화약 폭발로 인한 화상도입을 수 있습니다. 에어백과 탑승자 사이에는 어떠한 물건도 놓아 두지 마십시오. 팽창하는 에어백에 의해부상을 당할 위험이 커집니다. 운전석 에어백, 동승석 에어백은 정면에서에어백 작동 조건에 해당할 때 작동하며, 측면이나 후방 충돌, 가벼운 정면 충돌, 기둥 충돌 시에는 작동되지 않습니다. 사이드 에어백, 커튼 에어백은 측면에서 중간 이상의 세기로 충돌했을 때 작동합니다. 다중 충돌 시 후면에서 오는 충격은 에어백으로 보호되지 않습니다. 좌석을 절대 개조하지 마십시오. 당사에서허용하지 않는 좌석을 장착하거나 시트커버를 개조한 경우 에어백 성능이 감소되어 부상을 입을 수 있습니다. 에어백이 장착된 부위나 충돌 센서가 장착된부위에 망치나 단단한 물건 등으로 임의의충격을 주지 마십시오. 차가 물에 잠겼다면(카펫이 젖었거나 차량바닥 부분에 물이 차올랐을 때 등) 시동 버튼을 누르지 마십시오. 운전자가 에어백에 아주 가까이 있을 경우 에어백이 팽창하면서심하게 다치거나 사망할 수 있습니다. 차를견인한 후 당사 직영 하이테크센터나 블루핸즈에서 점검을 받으십시오. 품질이나 성능이 부적합한 범퍼 가드 장착혹은 범퍼 교체 시 충돌 성능 및 에어백 작동에 좋지 않은 영향을 끼칠 수 있습니다. 순정부품 범퍼 가드/범퍼는 품질과 성능을 당사가 보증하는 부품입니다.  내장된 부품을 분해하고 재조립하면 부품이훼손 또는 변형되어 정상적으로 체결되지 않을 수 있습니다. 이 경우 에어백이 작동할 때부품이 떨어져 나와 다칠 수 있습니다.",206,3.  시트 및 안전 장치,에어백 (보조 구속 장치),에어백 장치의 구성 및 기능
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,130_0,안전벨트 착용의 중요성,207,3.  시트 및 안전 장치,에어백 (보조 구속 장치),안전벨트 착용의 중요성
"""('HyundaiSansTextKR', 0, 9)""",,text,,130_1,"에어백(보조 구속 장치)이 장착되어 있어도 안전벨트를 착용해야 하는 중요한 이유는 다음과같습니다.  안전벨트는 에어백이 팽창할 때 에어백으로부터 보다 멀리 떨어진 위치에 있도록 도와줍니다.  차에 있는 에어백은 충돌이 시작될 때 에어백으로부터 멀리 앉아 있어야 탑승자를 보다효과적으로 보호합니다.  차량 전복 및 측면 또는 후방 충돌 시, 에어백이 작동하지 않더라도 이때 다칠 위험을 줄여줍니다. 에어백이 작동하지 않는 가벼운 충격에서도다칠 위험을 줄여줍니다. 사고가 났을 때 차량에서 튕겨 나오는 위험을 줄여줍니다.",207,3.  시트 및 안전 장치,에어백 (보조 구속 장치),안전벨트 착용의 중요성
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,130_2,운전석 에어백 ,208,3.  시트 및 안전 장치,에어백 (보조 구속 장치),운전석 에어백 
,./image/ioniq5_2024/130_3_img.png,image,,130_3,,208,3.  시트 및 안전 장치,에어백 (보조 구속 장치),운전석 에어백 
,./image/ioniq5_2024/130_5_img.jpeg,image,,130_5,,208,3.  시트 및 안전 장치,에어백 (보조 구속 장치),운전석 에어백 
"""('HyundaiSansTextKR', 0, 9)""",,text,,130_6,운전석 에어백은 스티어링 휠에 내장되어 있습니다.,208,3.  시트 및 안전 장치,에어백 (보조 구속 장치),운전석 에어백 
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,130_8, 운전자는 운전에 방해되지 않는 범위에서 스티어링 휠로부터 가능한 떨어져 앉아야 합니다. 스티어링 휠과 너무 가까우면 에어백이작동할 때 치명적인 부상을 입을 수 있습니다. 에어백이 있는 내장부와 운전자 사이에 물체를 놓지 마십시오. 에어백의 작동 속도와 힘으로 물체와 운전자가 부딪혀 다치거나 사망할 수 있습니다. 스티어링 휠 커버에는 부착물 또는 장신구등을 붙이지 마십시오. 에어백이 작동하는것을 방해할 수도 있습니다.,208,3.  시트 및 안전 장치,에어백 (보조 구속 장치),운전석 에어백 
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,131_0,동승석 에어백,209,3.  시트 및 안전 장치,에어백 (보조 구속 장치),동승석 에어백
,./image/ioniq5_2024/131_1_img.png,image,,131_1,,209,3.  시트 및 안전 장치,에어백 (보조 구속 장치),동승석 에어백
,./image/ioniq5_2024/131_3_img.jpeg,image,,131_3,,209,3.  시트 및 안전 장치,에어백 (보조 구속 장치),동승석 에어백
"""('HyundaiSansTextKR', 0, 9)""",,text,,131_4,동승석 에어백은 글로브 박스 위 크래시 패드에내장되어 있습니다. 따라서 크래시 패드 위 어느 곳에도 물건이나 부착물을 올려 놓지 마십시오. ,209,3.  시트 및 안전 장치,에어백 (보조 구속 장치),동승석 에어백
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,131_6," 동승석 에어백은 운전석 에어백보다 크고 작동하는 힘이 더 강합니다. 따라서 동승석 탑승자가 적절한 위치에서 안전벨트를 착용하고 있지 않으면 심하게 다치거나 사망할 수있습니다. 동승석 탑승자는 가능한 좌석을 뒤로 이동하고 제자리에 앉아야 합니다. 주차장이나 차고에 들어갈 때 동승석 탑승자도 항상 안전벨트를 착용하게 하십시오. 운전자가 위급한 상황에서 갑자기 급제동을하면 안전벨트를 착용하지 않은 탑승자는 밖으로 튕겨 나가거나, 에어백과 밀착될 수 있습니다. 충돌할 때의 충격으로 순식간에 팽창하는 에어백에 의해 안전벨트를 착용하지않은 탑승자가 심하게 다치거나 사망할 수있습니다. 동승석 탑승자가 크래시 패드에 손이나 발을올려 놓거나 얼굴을 가까이 하지 않도록 하십시오. 에어백이 작동할 때 강한 충격을 받을 수 있습니다.  동승석에 에어백을 장착한 차에서는 어린이나 노약자, 임산부를 앞자리에 앉히지 마십시오. 순식간에 팽창하는 에어백에 의해 심하게 다칠 수 있습니다. 어린이 보조 좌석을앞좌석에 장착하지 마십시오.  동승석 에어백이 팽창하는 위치에 물체(휴대 전화 거치대, 컵 홀더 거치대, 카세트 홀더, 향수, 스티커, 크래시 패드 커버 등)를 놓거나 붙이지 마십시오. 앞 유리에 장식물이나 실내 미러에 와이드 미러를 달지 마십시오. 에어백 팽창에 방해될 수 있고 팽창할 때물체에 부딪혀 다치거나 사망할 수 있습니다.",209,3.  시트 및 안전 장치,에어백 (보조 구속 장치),동승석 에어백
"""('HyundaiSansTextKRMedium', 13416, 12)""",,text,h3,132_0,승객 구분 시스템 (OCS),210,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 0, 9)""",,text,,132_1,동승석에 장착된 승객 구분 센서는 동승석 탑승자를 성인과 어린이 보조 좌석으로 구분하여 에어백 제어 장치(ACU)에 탑승자 정보를 보냅니다. 에어백 제어 장치(ACU)는 탑승자 정보와충돌 신호를 이용하여 동승석 에어백 전개 여부를 결정합니다. 동승석 탑승자가 바른 자세로 탑승하면 이를감지하고 필요할 때 에어백이 팽창되도록 정상 작동합니다.  어린이 보조 좌석이 설치되면 이를 감지하고에어백을 작동하지 않습니다. 체격이 작은 성인이 앉았거나 바르지 않은자세로 앉으면 에어백이 작동하지 않을 수있습니다.,210,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 6908265, 2)""",,text,,132_3,  OCS는 Occupant Classification System의 약자입니다. ACU는 Airbag Control Unit의 약자입니다.,210,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 6908265, 2)""",,text,,132_6, 승객 구분 시스템은 FMVSS(미국 자동차 안전기준) 208(탑승자 충돌보호) 기준으로 설계되었습니다.,210,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 6908265, 2)""",,text,,132_9, 시동 ‘ON’ 후 동승석 탑승자가 없을 때PASSENGER AIR BAG OFF 표시등이 켜집니다. 동승석에 탑승자가 앉으면 몇 초 후에 승객구분 센서가 동승석 탑승자를 감지해PASSENGER AIR BAG OFF 표시등이 꺼집니다.,210,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,132_11,승객 구분 시스템의 주요 구성품,211,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 0, 7)""",,text,,132_12,동승석 승객 구분 센서,211,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
,./image/ioniq5_2024/132_13_img.png,image,,132_13,,211,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 0, 7)""",,text,,132_15,동승석 에어백 작동 표시등,211,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
,./image/ioniq5_2024/132_16_img.jpeg,image,,132_16,,211,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,132_17, 동승석 쿠션에 장착된 승객 구분 센서 동승석 에어백 시스템의 작동 여부를 결정하는 에어백 제어 장치 동승석 에어백 작동 여부를 나타내는PASSENGER AIR BAG OFF 표시등,211,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,133_0,승객 구분 시스템 사용방법,212,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
,./image/ioniq5_2024/133_1_img.png,image,,133_1,,212,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 0, 9)""",,text,,133_2,"동승석 탑승자가 바른 자세를 유지한 상태에서PASSENGER AIR BAG OFF 표시등이 꺼지는지 확인하십시오. PASSENGER AIR BAG OFF 표시등이 꺼지면 동승석 에어백이 정상적으로 작동합니다. PASSENGER AIR BAG OFF 표시등이 켜져있다면 시동을 끄고, 동승석 탑승자의 자세를 올바르게 고치고, 시동을 다시 켜십시오. PASSENGER AIR BAG OFF 표시등이 계속켜져 있다면 에어백이 정상적으로 작동하지않는 상태이니, 동승석 탑승자가 뒷좌석에앉도록 하십시오.동승석에는 어린이 보조 좌석을 절대 설치하지마십시오. 불가피하게 어린이 보조 좌석을 설치해야 한다면 앞을 보도록 설치하고, 동승석을 최대한 뒤로 이동하십시오. 어린이 보조 좌석을 설치한 후 PASSENGERAIR BAG OFF 표시등이 꺼지면 에어백이 작동할 수 있습니다. 즉시 어린이 보조 좌석을뒷좌석에 설치하십시오.",212,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 0, 9)""",,text,,133_4,다음의 상황이 발생하면 동승석 탑승자나 어린이 보조 좌석을 뒷좌석으로 즉시 이동하고 당사직영 하이테크센터나 블루핸즈에서 점검을 받으십시오. 동승석에 성인이 탑승해도 PASSENGER AIR BAG OFF 표시등이 켜진경우 어린이 보조 좌석을 설치한 후 PASSENGERAIR BAG OFF 표시등이 꺼진 경우,212,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKRMedium', 0, 10)""",,text,h4,134_0,동승석 승객 구분 시스템의 작동 조건승객 구분 시스템(OCS)의 작동은 다음 표의 조건을 따릅니다.,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
,./image/ioniq5_2024/134_0_table.jpeg,table,,134_1,"|    | 승객 구분 시스템 작동 조건    | 표시등/경고등    | 표시등/경고등   | 장 치         |
|---:|:------------------------------|:-----------------|:----------------|:--------------|
|  0 |                               | PASSENGER AIR    | 에어백 경고등   | 동승석 에어백 |
|    |                               | BAG “OFF” 표시등 |                 |               |
|  1 | 1. 성인 *1                    | 꺼짐             | 꺼짐            | 작동          |
|  2 | 2. 어린이 보조 좌석에 앉힌 12 | 켜짐             | 꺼짐            | 미작동        |
|    | 개월 어린이*3*4 또는 유아*2   |                  |                 |               |
|  3 | 3. 공석                       | 켜짐             | 꺼짐            | 미작동        |
|  4 | 4. 시스템 오류                | 꺼짐             | 켜짐            | 작동          |",213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 0, 7)""",,text,,134_8,자세에 기초하여 어린이로 인식될 수 있습니다.,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 0, 7)""",,text,,134_9,습니다.,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 0, 7)""",,text,,134_11,이것은 정상적인 조건입니다.,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 0, 9)""",,text,,134_13,"탑승자가 바르지 않은 자세로 동승석에 앉거나, 동승석에 물건을 올려놓거나, 동승석 아래에 물건을 놓으면 승객 구분 시스템(OCS)에 방해될 수 있습니다. 에어백과 안전벨트로 최대한 보호 받으려면 운전자와 모든 탑승자가 바른 자세로 앉고 안전벨트를 올바르게 착용해야 합니다.",213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 6908265, 2)""",,text,,134_16," PASSENGER AIR BAG OFF 표시등이 켜진 상태에서는 동승석 에어백이 전개되지 않으며, 꺼진 상태에서는 작동 대기 상태가 됩니다.",213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,135_1," 시트 표면을 덮는 차량용 쿠션은 사용하지마십시오. 품질이나 성능이 부적합한 동승석시트 히터 사용시 정상 작동되지 않을 수 있습니다. 순정부품은 품질과 성능을 당사가보증하는 부품입니다. 승객 구분 시스템을 임의로 변경 또는 개조시에는 정상 작동하지 않아 충돌 사고가 났을 때 심하게 다칠 수 있습니다. 수리 등의 목적으로 동승석 시트를 탈부착한후에는 동승석 탑승자가 있을 때PASSENGER AIR BAG OFF 표시등과 에어백 경고등이 정상적으로 작동하는지 반드시확인하십시오. 스팀이나 세제로 내부를 세차한 후에는 반드시 충분히 시트를 건조시킨 후, PASSENGER AIR BAG OFF 표시등과 에어백 경고등이 정상적으로 작동하는지 확인하십시오. 동승석 시트나 승객 구분 시스템은 반드시당사 직영 하이테크센터나 블루핸즈에서 점검을 받으십시오.",213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansTextKR', 0, 9)""",,text,,135_4,승객 구분 시스템(OCS) 오류 또는 오작동이 발생할 수 있으므로 심각한 부상 및 사망의 위험을 줄이기 위해 아래의 내용을 준수하십시오.,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,135_6, 무거운 물건을 동승석에 올려놓거나 등받이포켓에 넣어두지 마십시오.,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
,./image/ioniq5_2024/135_7_img.jpeg,image,,135_7,,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,135_8, 엉덩이를 앞으로 빼서 앉지 마십시오.,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
,./image/ioniq5_2024/135_9_img.jpeg,image,,135_9,,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,135_10, 다리를 크래시 패드 위에 올려놓지 마십시오.,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
,./image/ioniq5_2024/135_11_img.jpeg,image,,135_11,,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,136_0, 뒷좌석에 앉을 때 동승석을 앞으로 굽히고그 위에 다리를 올려놓지 마십시오.,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
,./image/ioniq5_2024/136_1_img.jpeg,image,,136_1,,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
"""('HyundaiSansHeadKR', 0, 10)"", ""('HyundaiSansTextKR', 0, 9)""",,text,,136_2, 동승석 등받이를 지나치게 뒤로 젖히지 마십시오.,213,3.  시트 및 안전 장치,에어백 (보조 구속 장치),승객 구분 시스템 (OCS)
