doc_table_contents,question,answer
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:좌석
설명서 소제목:앞좌석
좌석 조절 (수동식) 
전·후 위치 조절
1. 좌석 쿠션의 앞쪽 레버를 당긴 채, 좌석을 앞·뒤 원하는 위치로 조절하십시오. 2. 조절 레버를 놓으면 고정됩니다.3. 조절이 끝나면 좌석을 가볍게 흔들어 확실하게 고정되었는지 확인하십시오.
등받이 각도 조절
1. 좌석에 앉은 상태에서 등을 앞으로 약간 숙이고, 좌석 바깥쪽에 위치한 좌석 각도 조절레버를 위로 당기십시오.2. 조심해서 좌석에 기대어 원하는 위치로 조절하십시오.3. 조절 레버를 놓으면 고정됩니다.4. 조절이 끝나면, 조절 레버의 위치가 처음의상태로 되돌아와 확실하게 등받이가 고정되었는지 확인하십시오.
높낮이 조절
1. 높낮이 조절 레버를 위로 당길 때 마다 좌석이 조금씩 올라가고, 아래로 누를 때 마다 좌석이 조금씩 내려갑니다.2. 조절이 끝나면 레버에서 손을 떼십시오.
허리 지지대 (럼버 서포트) 조절 
허리 지지대 조절 스위치의 앞부분(1)을 누르면운전석 등받이 허리 지지 부분이 앞으로 튀어나오고, 스위치 뒷부분(2)을 누르면 허리 지지 부분이 뒤로 들어갑니다.
 허리 지지대 부분이 날카로운 물건으로 인해손상되지 않도록 주의하십시오. 허리 지지대가 더 이상 튀어 나오지 않는다면 작동을 멈추십시오. 허리 지지대 작동 모터가 손상될 수 있습니다.","1. 좌석을 전·후로 움직이는 방법은 무엇인가요?
2. 등받이의 각도를 조절하는 방법은 무엇인가요?
3. 좌석의 높낮이를 조절하는 방법은 무엇인가요?
4. 허리 지지대를 조절하는 방법은 무엇인가요?
5. 허리 지지대가 작동하지 않을 때 어떻게 해야 하나요?","1. 좌석을 전·후로 움직이는 방법은 좌석 쿠션의 앞쪽 레버를 당기고 원하는 위치로 조절한 후 레버를 놓으면 고정됩니다.
2. 등받이의 각도를 조절하는 방법은 등을 앞으로 약간 숙이고, 좌석 바깥쪽에 위치한 좌석 각도 조절레버를 위로 당기고 원하는 위치로 조절한 후 레버를 놓으면 고정됩니다.
3. 좌석의 높낮이를 조절하는 방법은 높낮이 조절 레버를 위로 당기면 좌석이 올라가고, 아래로 누르면 좌석이 내려갑니다. 조절이 끝나면 레버에서 손을 떼면 됩니다.
4. 허리 지지대를 조절하는 방법은 허리 지지대 조절 스위치의 앞부분을 누르면 허리 지지 부분이 앞으로 튀어나오고, 뒷부분을 누르면 허리 지지 부분이 뒤로 들어갑니다.
5. 허리 지지대가 작동하지 않을 때는 작동을 멈추고, 허리 지지대 부분이 날카로운 물건으로 인해 손상되지 않도록 주의해야 합니다."
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:좌석
설명서 소제목:앞좌석
좌석 조절 (전동식)
조절 스위치를 사용하여 좌석을 조절할 수 있습니다. 주행 전에 좌석 위치를 조절해서 스티어링 휠과 각종 페달, 그리고 스위치를 쉽게 조작할 수 있도록 하십시오.조절 스위치 조작 시 필요 이상의 힘을 가하면다른 부위까지 좌석이 움직여질 수 있습니다.과도한 힘이 들어가지 않도록 주의하십시오.
 전동식 좌석 조절 장치는 시동을 꺼도 작동하기 때문에 어린이가 잘못 만지면 사고로이어질 수 있습니다. 안전을 위해 어린이를차 안에 혼자 두지 마십시오. 조절 장치는 모터로 작동됩니다. 조절이 끝나면 스위치에서 손을 떼십시오. 과도한 조작은 모터의 전기 장치에 손상을 입힐 수 있습니다. 전동식 좌석 조절장치는 많은 양의 전기동력을 필요로 합니다. 배터리가 방전되지 않도록 시동이 꺼진 상태에서는 되도록 사용을자제하십시오. 동시에 두 개 이상의 스위치를 조작하지 마십시오. 모터 및 전기장치가 손상될 수 있습니다.
전후 위치 조절
조절 스위치를 앞뒤로 밀거나 당겨 위치를 조절하십시오.
등받이 각도 조절
등받이 각도 조절 스위치 윗부분을 앞으로 당기면 등받이가 앞으로 숙여지고, 뒤로 밀면 등받이가 뒤로 젖혀집니다.
다리 받침대 조절 
레그 서포트 조절 스위치 앞쪽(1)을 누르면 레그 서포트가 올라가고 뒤쪽(2)을 누르면 레그서포트가 내려갑니다.
다리 받침대 끝에 걸터 앉거나 무거운 물건을올려 놓을 경우 고장의 원인이 될 수 있습니다.
 다리 받침대를 올리거나 내릴 때, 앞좌석 시트 밑이나 근처 구조물에 발이 끼일 수 있습니다. 예기치 못한 상해가 발생할 수 있으니각별히 유의하십시오. 어린이가 스위치 작동 시 예기치 못한 상해가 발생될 수 있으니 각별히 유의하십시오.
쿠션 각도/높낮이 조절
 쿠션 각도 조절 (1)
조절 스위치의 앞쪽을 올리거나 내리면 쿠션의 앞부분이 올라가거나 내려옵니다. 쿠션 높낮이 조절 (2)
조절 스위치의 뒤쪽을 올리거나 내리면 시트전체가 올라가거나 내려옵니다.
허리 지지대 (럼버 서포트) 조절 
허리 지지대 조절 스위치의 앞부분(1)을 누르면운전석 등받이 허리 지지 부분이 앞으로 튀어나오고, 스위치의 뒷부분(2)을 누르면 허리 지지부분이 뒤로 들어갑니다.
 허리 지지대 부분이 날카로운 물건으로 인해손상되지 않도록 주의하십시오. 허리 지지대가 더 이상 튀어 나오지 않는다면 작동을 멈추십시오. 허리 지지대 작동 모터가 손상될 수 있습니다.",,
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:좌석
설명서 소제목:앞좌석
릴렉션 컴포트 시트 (운전석, 동승석)
장시간 같은 자세를 유지할 경우 신체에 가해지는 체압 및 특정 부위에 집중되는 하중을 골고루 분산 시켜줍니다.관절의 부담을 줄이고 균형을 잡아주는 최적의자세를 제공하여 승객의 피로와 불편을 완화시켜줍니다.차량 충전 시 편안한 휴식에 도움을 줄 수 있습니다.
 릴렉션 컴포트 시트는 안전을 위하여 주·정차 시 또는 휴식 중일 때만 사용하십시오. 릴렉션 컴포트 시트 작동 시 탑승자의 주의가 필요합니다. 뒷좌석에 탑승자 또는 기타 적재물이 있을경우 릴렉션 컴포트 시트를 작동하지 마십시오. 뒷좌석이 최후방에 위치해 있고, 등받이가세워져 있는 경우에만 릴렉션 컴포트 시트를사용하십시오.
 주행 중에는 절대로 좌석을 조절하지 마십시오. 운전자의 주의가 분산되어 사고가 발생할 수 있습니다. 시트가 작동 중일 때에 신체나 물건이 끼이지 않도록 주의하십시오. 릴렉션 컴포트 시트가 작동된 상태에서 충돌시 부상의 위험이 증가할 수 있으므로 주·정차 시 또는 휴식 중일 때만 사용하십시오. 안전벨트를 착용한 채로 시트를 작동할 경우가슴 쪽 안전벨트가 몸에 완전히 밀착되지않을 수 있으므로 주·정차 시 또는 휴식 중일때만 사용하십시오.
릴렉션 기능
동승석 측면 스위치
운전석/동승석 시트 조절 스위치
오토 스위치를 이용하여 편리하게 사용할 수 있습니다.
1. 시동 ‘ACC’ 또는 ‘ON’ 상태에서 스위치 뒷부분(1)을 0.5초 이상 누르면 인포테인먼트 화면에 “뒷좌석 공간이 충분한지 확인 후 스위치를 다시 누르십시오.” 알림이 표시(모니터‘ON’ 시)됩니다. 2. 뒷좌석 확인 후 5초 이내에 스위치 뒷부분(1)을 다시 0.5초 이상 누르면 아래의 순서로 미리 저장된 릴렉션 컴포트 시트 위치로 좌석이 움직입니다. 시트 쿠션 전후 위치 자동 이동 시트 쿠션, 등받이 각도 및 다리 받침대 자동 조절다음과 같은 경우에는 릴렉션 컴포트 시트가 작동하지 않습니다. ‘P’(주차)단이 아닌 경우(운전석) 차량이 3 km/h 이상의 속도로 움직이고 있는 경우(운전석) 뒷좌석 안전벨트 착용이 감지되는 경우 운전석 메모리 시스템 초기화가 필요한 경우 시트 작동이 완료된 후 보다 편한 자세를 위하여 시트 조절 스위치 (3)을 사용하여 직접조정할 수도 있으며, 조정 시 쿠션과 등받이가 함께 회전합니다. 스위치 앞쪽을 내리면(3) 리턴 위치로 미세조절됩니다.
[A] 동시동작
 스위치 앞쪽을 올리면(3) 릴렉션 위치로 미세 조절됩니다.
[A] 동시동작 원하지 않는 작동(타인에 의한 작동)이 생길경우 릴렉션 컴포트 시트 조절 스위치 또는좌석 조절 스위치를 눌러 작동을 제어할 수있습니다.
리턴 기능릴렉션 컴포트 시트가 작동된 상태에서 스위치의 앞부분 (2)을 0.5초 이상 누르면 각 좌석이저장된 위치로 돌아옵니다. 운전석: 마지막으로 변속단이 ‘P’(주차)였을때 위치  동승석: 미리 저장된 위치단, 다음과 같은 경우에는 리턴 동작 하지 않습니다.  변속단 기어가 ‘P’(주차)가 아닐 경우 (운전석 해당) 차량이 3 km/h 이상의 속도로 움직일 때 (운전석 해당) 운전석 메모리 시스템 초기화가 필요한 경우",,
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:좌석
설명서 소제목:앞좌석
헤드레스트 조절
 헤드레스트는 안락감을 제공하며 충돌 사고시 머리와 목을 보호하도록 도와줍니다. 원하는 위치로 조절하여 사용하십시오. 헤드레스트와 머리 사이 거리는 가까울수록후방 충돌 시 목을 더 잘 보호할 수 있습니다.
높낮이 조절
헤드레스트의 높이는 헤드레스트의 중심부와탑승자 귀 윗부분이 일치하도록 조절하십시오. 높일 때는 헤드레스트를 잡고 잠기는 위치까지 위로 당겨 올리십시오(1). 내릴 때는 잠금 해제 버튼(2)을 누른 상태에서 헤드레스트를 아래로 누르십시오(3).
전후 위치 조절
 헤드레스트를 잡고 그림과 같이 화살표 방향으로 움직여 조절하십시오. 헤드레스트를 앞으로 최대한 당기면 자동으로 뒤로 이동합니다.
좌석이 앞으로 이동된 상태에서 좌석 등받이를앞으로 굽히면 헤드레스트가 선바이저 등 주변부품을 파손시킬 수 있고, 간섭으로 인해 헤드레스트 작동이 어려울 수 있으니 주의하십시오.
헤드레스트 분리
A타입
B타입
1. 등받이 각도 조절 레버 또는 스위치(1)로 좌석 등받이를 뒤로 젖히십시오(2).2. 헤드레스트를 끝까지 올린 후 잠금 해제 버튼(3)을 누른 상태에서 헤드레스트를 위로올려 분리 하십시오(4).
헤드레스트 장착
A타입
B타입
1. 등받이 각도 조절 레버 또는 스위치(3)를 사용해 좌석 등받이를 뒤로 젖히십시오.2. 헤드레스트 폴을 등받이 홈에 장착하십시오.3. 잠금 해제 버튼(1)을 누른 상태에서 헤드레스트를 내려 위치를 조절하십시오(2).4. 등받이 각도 조절 레버 또는 스위치(3)로 좌석 등받이를 바로 세우십시오(4).
 헤드레스트에 액세서리 등 다른 물건을 걸거나 붙이지 마십시오. 사고가 나면 다칠 수 있습니다. 헤드레스트 위치를 조절할 때 폴 가이드 사이에 손가락이 낄 수 있으니 주의하십시오.
 머리나 목의 상해를 방지하기 위해 헤드레스트를 뺀 상태에서는 절대로 주행하지 마십시오. 주행 중에는 헤드레스트를 조절하지 마십시오.",,
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:좌석
설명서 소제목:앞좌석
좌석 등받이 포켓 (운전석/동승석)
뒷좌석 탑승자의 편의를 위해 소책자나 지도책을 보관할 수 있는 포켓이 있습니다.
 포켓에 날카로운 물건을 넣어두면 급정차나사고 시 뒷좌석 탑승자가 심하게 다칠 수 있으므로 주의하십시오. 동승석 등받이에 매달리지 마십시오. 승객구분 시스템(OCS)이 오작동할 수 있습니다.","1. 좌석 등받이 포켓에 어떤 물건을 넣으면 안 되는 이유는 무엇인가요?
2. 뒷좌석 탑승자가 소책자나 지도책을 보관할 수 있는 공간은 어디에 있나요?
3. 동승석 등받이에 매달리면 어떤 문제가 발생할 수 있나요?
4. 승객구분 시스템(OCS)이 왜 오작동할 수 있는지 설명해주세요.","1. 좌석 등받이 포켓에 날카로운 물건을 넣으면 급정차나 사고 시 뒷좌석 탑승자가 다칠 수 있기 때문입니다.
2. 뒷좌석에는 소책자나 지도책을 보관할 수 있는 포켓이 있습니다.
3. 동승석 등받이에 매달리면 승객구분 시스템(OCS)이 오작동할 수 있습니다."
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:좌석
설명서 소제목:앞좌석
뒷좌석 조절 스위치
탑승자의 편의를 위해 운전석이나 동승석에서뒷좌석의 위치를 조절할 수 있습니다. 동승석등받이 왼쪽에 조절 스위치가 있습니다. 스위치(1)을 누르면 오른쪽 뒷좌석이 앞으로이동하고 스위치(2)를 누르면 오른쪽 뒷좌석이 뒤로 이동합니다. 스위치(3)을 누르면 왼쪽 뒷좌석이 앞으로이동하고 스위치(4)를 누르면 왼쪽 뒷좌석이뒤로 이동합니다.
뒷좌석에 사람이 타거나 내리는 도중에는 좌석조절 스위치를 누르지 마십시오. 좌석이 갑자기 움직여 탑승자가 다칠 수 있습니다.",,
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:좌석
설명서 소제목:뒷좌석
좌석 전·후 위치 조절(수동식) 
1. 좌석 쿠션의 앞쪽에 있는 레버를 위로 당기십시오.2. 좌석을 전후 원하는 위치로 조절하십시오.3. 조절 레버를 놓으면 고정됩니다.4. 조절 후에는 좌석을 앞뒤로 가볍게 흔들어확실하게 고정되었는지 확인하십시오.",설명서 대제목은 무엇인가요?,"설명서 대제목은 ""시트 및 안전 장치""입니다."
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:좌석
설명서 소제목:뒷좌석
좌석 전·후 위치 조절(전동식)
조절 스위치를 앞뒤로 밀거나 당겨 원하는 위치로 조절하십시오.",설명서에서 어떤 장치에 대한 설명이 있나요?,뒷좌석에 대한 전·후 위치 조절에 대한 설명이 있습니다.
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:좌석
설명서 소제목:뒷좌석
좌석 각도 조절
1. 좌석에 앉은 상태에서 등을 앞으로 약간 숙이고, 좌석 바깥쪽에 위치한 좌석 각도 조절레버를 당기십시오.2. 조심해서 좌석에 기대어 원하는 위치로 조절하십시오.3. 조절 레버를 놓으면 고정됩니다.4. 조절이 끝나면, 조절 레버의 위치가 처음의상태로 되돌아와 확실하게 등받이가 고정되었는지 확인하십시오.
 각도 조절 레버로 등받이를 접을 수 있습니다. ",어떻게 좌석 각도를 조절할 수 있나요?,"좌석에 앉은 상태에서 등을 앞으로 약간 숙이고, 좌석 바깥쪽에 위치한 좌석 각도 조절레버를 당기면 좌석 각도를 조절할 수 있습니다. 조절이 끝나면 조절 레버의 위치가 처음의 상태로 되돌아와 확실하게 등받이가 고정되었는지 확인하면 됩니다. 각도 조절 레버로 등받이를 접을 수도 있습니다."
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:좌석
설명서 소제목:뒷좌석
좌석 접는 방법좌석 접이 레버를 잡아 당겨 등받이를 앞으로접으면 좌석 공간을 적재공간으로 넓게 사용할수 있습니다.다시 좌석으로 사용하고자 할 때는 등받이를 딸깍하고 걸릴 때까지 위로 올려 바로 세우십시오.좌석으로 사용할 때는 반드시 헤드레스트와 안전벨트를 원래 위치에 놓고 사용하십시오.
 좌석을 접고 펼 때는 항상 차량 정지 상태에서 조작하십시오. 운행 중에는 좌석을 조절하지 마십시오. 좌석에 탑승자가 있는지 확인한 후 좌석을접으십시오. 뒷좌석에 애완동물, 수화물, 사람이 있거나 탑승자가 내리는 도중에는 좌석을 접지 마십시오. 뒷좌석을 접은 상태에서 화물 공간에 탑승자가 탑승하거나 화물칸에 탑승하는 것은 매우위험합니다. 화물을 적재하는 경우 앞좌석 높이 이상으로적재하지 말고, 움직일 수 있는 화물은 고정시켜 앞으로 밀리지 않도록 하십시오. 그렇지 않으면 차량 탑승자가 화물에 의해 다칠수 있습니다. 좌석을 접고 펼때는 안전벨트가 손상되지 않도록 항상 주의하십시오. 좌석을 원위치시킨 후 좌석이 고정되어 있는지 앞뒤로 흔들어 확인하고, 헤드레스트와안전벨트를 원래 위치에 놓고 사용하십시오. 좌석 조작 시 손이나 발이 끼지 않도록 주의하십시오. 등받이를 조절할 때는 반드시 등받이를 손으로 잡고 안전하게 조절하십시오. 등받이를잡지 않은 상태에서 좌석 각도 조절 레버를당기면 등받이가 갑자기 접히게 되어 부상을입을 수 있습니다.
1. 뒷좌석을 접을 때 간섭이 생기지 않도록 앞좌석 등받이를 바로 세우십시오.2. 뒷좌석 헤드레스트 잠금 해제 버튼을 눌러뒷좌석 헤드레스트를 최대한 아래로 내리십시오. 
3. 접었을 때 양옆의 3점식 안전벨트가 적재화물과 간섭이 발생되지 않도록 양옆으로 위치시키십시오.
4. 좌석 접이 레버(1)를 당긴 상태에서 등받이(2)를 앞으로 접으십시오.등받이를 접은 후 조절 레버를 놓아 고정시키십시오. 등받이가 확실히 고정되었는지 확인하십시오.
5. 좌석으로 사용하고자 할 때는 좌석 각도 조절 레버(1)를 당긴 상태에서 등받이(2)를 세우십시오. 원하는 각도로 등받이를 조절한 후 레버를놓으면 고정됩니다. 
등받이를 세운 후에 등받이가 확실히 고정되었는지 확인하십시오.
등받이를 조절할 때는 반드시 등받이를 손으로잡고 안전하게 조절하십시오. 등받이를 잡지않은 상태에서 좌석 각도 조절 레버를 당기면등받이가 갑자기 접히게 되어 부상을 입을 수있습니다.",,
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:좌석
설명서 소제목:뒷좌석
헤드레스트 조절
헤드레스트는 안락감과 충돌 사고 시 머리와 목을 보호하도록 도와줍니다. 원하는 위치로 조절하여 사용하십시오.
높낮이 조절
헤드레스트의 높이는 헤드레스트의 중심부와탑승자 귀 윗부분이 일치하도록 조절하십시오. 높일 때는 헤드레스트를 잡고 잠기는 위치까지 위로 당겨 올리십시오(1). 내릴 때는 잠금 해제 버튼(2)을 누른 상태에서 헤드레스트를 아래로 누르십시오(3).
분리할 때
1. 헤드레스트 끝까지 위로 올리십시오.2. 잠금 해제 버튼(1)을 누른 상태에서 헤드레스트를 위로 올려 분리하십시오(2).
장착할 때1. 헤드레스트 폴을 등받이 홈에 장착하십시오.2. 잠금 해제 버튼(1)을 누른 상태에서 헤드레스트를 내려 위치를 조절하십시오(3).
 뒷좌석을 사용하지 않을 때에는 후방 시야를가릴 수 있으므로 뒷좌석 헤드레스트의 높이를 최대한 낮추십시오.  헤드레스트가 완전히 내려진 채로 뒷좌석에탑승하지 마십시오.
 머리나 목의 상해를 방지하기 위해 헤드레스트를 뺀 상태에서는 절대로 주행하지 마십시오. 주행 중에는 헤드레스트를 조절하지 마십시오. 헤드레스트 높낮이를 조절할 때 폴 가이드사이에 손가락이 낄 수 있으니 주의하십시오.",헤드레스트는 어떤 역할을 하는가요?,헤드레스트는 안락감과 충돌 사고 시 머리와 목을 보호하는 역할을 합니다.
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:좌석
설명서 소제목:뒷좌석
암레스트 조절
암레스트 상단을 잡아당겨 내리십시오.사용 후에는 위로 올려 원위치 시키십시오.
 암레스트를 내릴 때, 중앙 쿠션부에 물건이있으면 파손의 위험이 있으니 주의하십시오. 암레스트 상단을 무리하게 잡아당기지 마십시오. 고정 장치가 손상될 수 있습니다. 뒷좌석 등받이를 접을 때, 좌석에 암레스트손잡이의 자국이 생길 수 있으나 시간이 지나면 원상태로 돌아옵니다.
사용 후에는 암레스트를 확실히 닫아 잠그십시오. 그렇지 않으면 급정지 시 암레스트가 떨어져 부상을 입을 수 있습니다.",암레스트를 내릴 때 주의해야 할 사항은 무엇인가요?,"암레스트를 내릴 때, 중앙 쿠션부에 물건이 있으면 파손의 위험이 있으니 주의해야 합니다. 암레스트 상단을 무리하게 잡아당기지 말아야 하며, 고정 장치가 손상될 수 있습니다. 또한, 사용 후에는 암레스트를 확실히 닫아 잠그지 않으면 급정지 시 암레스트가 떨어져 부상을 입을 수 있습니다."
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:열선 시트 및 통풍 시트
설명서 소제목:열선 시트
앞좌석 시동이 걸린 상태에서 인포테인먼트 시스템의 홈 화면 > 열선/통풍 아이콘을 터치하십시오.
인포테인먼트 시스템
 히터 및 에어컨 버튼에서 WARMER (열선/통풍) 버튼을 누르십시오.
히터 및 에어컨 버튼
 전석 열선/통풍 화면에서 ∧ 아이콘을 터치하면 해당 좌석의 열선 기능이 켜집니다. 아이콘(∧/∨)으로 열선 시트의 온도를 조절할 수 있습니다.
 열선 시트 작동 중 좌석 온도가 일정 온도 이상 높아지면 자동으로 작동을 멈추고, 일정온도 이하로 내려가면 다시 작동합니다. 좌석 온도 조절- 수동 조절∧/∨ 아이콘을 터치할 때마다 아래와 같이 온도가 조절됩니다.
- 자동 조절저온 화상 방지를 위해 열선 시트를 수동으로 켠 다음부터는 자동으로 좌석 온도가조절됩니다.
고온으로 다시 설정하려면 ∧ 아이콘을 터치하십시오. 수동으로 온도를 조절한 후 일정시간이 지나면 다시 자동 조절됩니다.
 운전석 공조 연동 자동 제어(운전석)기능을 켜려면 인포테인먼트 시스템의 설정> 차량 > 시트 > 스마트 열선/통풍 > 운전석 공조 연동 자동 제어 > 시트 열선/통풍을 차례로선택하십시오.시동을 걸면 운전석 열선 시트 기능이 차량의 내부/외부 온도에 따라 자동으로 제어됩니다. 
 인포테인먼트 시스템은 업데이트로 변경될수 있습니다. 자세한 내용은 인포테인먼트시스템 또는 간편 설명서의 웹 매뉴얼을 참고하십시오.
 시동을 껐다가 다시 걸면 열선 시트는 꺼진상태가 됩니다. 단, 운전석 공조 연동 자동 제어 기능이 켜져 있으면 운전석은 외기 온도에 따라 켜질 수도 있습니다.",설명서에서 어떤 기능을 사용하여 열선 시트를 켤 수 있나요?,"인포테인먼트 시스템의 홈 화면에서 열선/통풍 아이콘을 터치하거나, 히터 및 에어컨 버튼에서 WARMER(열선/통풍) 버튼을 눌러 열선 시트를 켤 수 있습니다."
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:열선 시트 및 통풍 시트
설명서 소제목:열선 시트
뒷좌석
 시동이 걸렸을 때 해당 좌석 열선 버튼을 누르면 강약 조절 표시등이 켜져 사용 중임을나타내고 해당 좌석의 열선이 켜집니다. 열선 시트 작동(표시등 켜짐) 상태에서 좌석온도가 일정 온도 이상 높아지면 자동으로작동을 멈추고, 온도가 내려가면 다시 작동하게 됩니다. 좌석 온도 조절- 수동 조절열선 시트 버튼을 누를 때마다 아래와 같이 온도 조절이 됩니다.
0''ªъ	
ª	
	
- 자동 조절저온 화상 방지를 위해 열선 시트를 수동으로 켠 다음부터는 자동으로 좌석 온도가조절됩니다.
0''ªъ	
ª	
	
 열선 시트 사용 중 버튼을 길게 누르면 열선시트 기능을 끌 수 있습니다. 시동을 껐다가 다시 걸면 열선 시트는 꺼진상태가 됩니다. 앞좌석에서도 뒷좌석 열선 시트를 조절할 수있습니다. 전석 열선/통풍 화면에서 후석 열선 아이콘을 터치하십시오.
 후석 열선 화면에서 ∧ 아이콘을 터치하면해당 좌석의 열선 기능이 켜집니다. 아이콘(∧/∨ )으로 열선 시트의 온도를 조절 할 수있습니다.
 열선 시트 작동 중 좌석 온도가 일정 온도 이상 높아지면 자동으로 작동을 멈추고, 일정온도 이하로 내려가면 다시 작동합니다.
 좌석 온도 조절- 수동 조절∧/∨ 아이콘을 터치할 때마다 아래와 같이 온도가 조절됩니다.
- 자동 조절저온 화상 방지를 위해 열선 시트를 수동으로 켠 다음부터는 자동으로 좌석 온도가조절됩니다.
고온으로 다시 설정하려면 ∧ 아이콘을 터치하십시오. 수동으로 온도를 조절한 후 일정 시간이 지나면 다시 자동 조절됩니다.
탑승자가 다음의 상황에 해당한다면 열선 시트사용으로 저온 화상을 입을 수 있으니 주의하십시오. 유아, 어린이, 노인, 신체 부자유자 또는 기타질병이 있음 피부가 약함 과로 상태임 과음 상태임 졸음이 올 수 있는 약(수면제, 감기약)을 복용함
 저온화상피부가 40~50 ℃ 정도의 비교적 낮은 온도에장시간 노출될 때 열에 의해 입는 화상을 말합니다. 통증이나 열을 그다지 느끼지 못하는 사이에 일어나므로 주의해야 합니다.
시트 커버를 임의로 교체하지 마십시오. 열선이 손상되어 화재가 발생할 위험이 있습니다.
 요철 형태의 무거운 물건이나 날카로운 물건을 좌석에 올려놓지 마십시오. 좌석을 세척할 때 시너, 벤젠, 알코올, 가솔린등의 유기용제를 사용하지 마십시오. 열선시트 시스템이 손상될 수 있습니다. 과열 방지를 위해, 좌석에 모포나 방석 등을올려놓지 마십시오. 물 등의 액체를 좌석에 쏟았을 경우 열선 시트를 끄고 마른 수건으로 액체를 닦아 낸 다음 완전히 건조하십시오. 열선 시트는 가급적 히터와 함께 사용하십시오. 히터를 끈 상태에서 장시간 사용하면 성능이 저하될 수 있습니다. 열선 시트는 많은 양의 전기 동력을 필요로합니다. 배터리가 방전되지 않도록 시동이걸리지 않은 상태에서는 사용을 자제하십시오. 열선 시트와 통풍 시트 간 기능을 변경하려면 실행 중인 기능을 끈 후 원하는 기능을 켜십시오. 갑작스럽게 또는 빈번하게 기능을변경하면 오작동 및 성능 저하를 일으킬 수있습니다.",,
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:열선 시트 및 통풍 시트
설명서 소제목:통풍 시트
앞좌석 시동이 걸린 상태에서 인포테인먼트 시스템의 홈 화면 > 열선/통풍 아이콘을 터치하십시오
인포테인먼트 시스템
 히터 및 에어컨 버튼에서 WARMER (열선/통풍) 버튼을 누르십시오.
히터 및 에어컨 버튼
 전석 열선/통풍 화면에서 ∨ 아이콘을 터치하면 해당 좌석의 통풍 기능이 켜집니다. 아이콘(∧/∨)으로 통풍 시트의 온도를 조절할 수 있습니다.
 좌석 온도 조절∧/∨ 아이콘을 터치할 때마다 아래와 같이온도가 조절됩니다.
 통풍 시트를 3단으로 설정하면 차량 속도 및시간에 따라 바람의 세기가 변합니다. (예: 차량 속도가 빨라지면 바람이 세짐) 효과적인 통풍을 위해 에어컨과 함께 사용하십시오. 스위치 작동 후 3~5분이 지나야 온도 변화를느낄 수 있습니다. 운전석 공조 연동 자동 제어(운전석)기능을 켜려면 인포테인먼트 시스템의 i > 차량 > 시트 > 스마트 열선/통풍 > 운전석 공조연동 자동 제어 > 시트 열선/통풍을 차례로 선택하십시오.시동을 걸면 운전석 통풍 시트 기능이 차량의 내부/외부 온도에 따라 자동으로 제어됩니다. 
 인포테인먼트 시스템은 업데이트로 변경될수 있습니다. 자세한 내용은 인포테인먼트시스템 또는 간편 설명서의 웹 매뉴얼을 참고하십시오.
 시동을 껐다가 다시 걸면 통풍 시트는 꺼진상태가 됩니다. 단, 운전석 공조 연동 자동 제어 기능이 켜져 있으면 운전석은 외기 온도에 따라 켜질 수도 있습니다.
 시트 커버를 임의로 교체하지 마십시오. 요철 형태의 무거운 물건이나 날카로운 물건을 좌석에 올려놓지 마십시오. 좌석을 세척할 때 시너, 벤젠, 알코올, 가솔린등의 유기용제를 사용하지 마십시오. 통풍시트 시스템이 손상될 수 있습니다. 물 등의 액체를 좌석에 쏟았을 경우 통풍 시트를 끄고 마른 수건으로 액체를 닦아 낸 다음 완전히 건조하십시오. 통풍 시트는 가급적 에어컨과 함께 사용하십시오. 에어컨을 끈 상태에서 장시간 사용하면 성능이 저하될 수 있습니다. 통풍 시트는 많은 양의 전기 동력을 필요로합니다. 배터리가 방전되지 않도록 시동이걸리지 않은 상태에서는 사용을 자제하십시오.",,
"설명서 대제목:3.  시트 및 안전 장치
설명서 중제목:어드밴스드 후석 승객 알림
설명서 소제목:
어드밴스드 후석 승객 알림
뒷좌석에 탑승자를 두고 내리는 것을 방지하기위한 시스템입니다. 자세한 내용은 5장 ‘어드밴스드 후석 승객 알림’을 참고하십시오.",어드밴스드 후석 승객 알림 시스템은 무엇을 방지하기 위한 시스템인가요?,어드밴스드 후석 승객 알림 시스템은 뒷좌석에 탑승자를 두고 내리는 것을 방지하기 위한 시스템입니다.
